Region;Kommune
Helgeland;Bindal
Helgeland;Sømna
Helgeland;Brønnøy
Helgeland;Vega
Helgeland;Vevelstad
Helgeland;Herøy
Helgeland;Alstahaug
Helgeland;Leirfjord
Helgeland;Vefsn
Helgeland;Grane
Helgeland;Dønna
Helgeland;Træna
Hålogaland;Narvik
Hålogaland;Evenes
Indre Helgeland;Aarborte - Hattfjelldal
Indre Helgeland;Nesna
Indre Helgeland;Hemnes
Indre Helgeland;Rana
Indre Helgeland;Lurøy
Lofoten;Røst
Lofoten;Værøy
Lofoten;Flakstad
Lofoten;Vestvågøy
Lofoten;Vågan
Lofoten;Moskenes
Salten;Bodø
Salten;Rødøy
Salten;Meløy
Salten;Gildeskål
Salten;Beiarn
Salten;Saltdal
Salten;Fauske - Fuossko
Salten;Sørfold
Salten;Steigen
Salten;Hábmer - Hamarøy
Vesterålen;Lødingen
Vesterålen;Hadsel
Vesterålen;Bø (Nordland)
Vesterålen;Øksnes
Vesterålen;Sortland - Suortá
Vesterålen;Andøy
Nordland;Bindal
Nordland;Sømna
Nordland;Brønnøy
Nordland;Vega
Nordland;Vevelstad
Nordland;Herøy
Nordland;Alstahaug
Nordland;Leirfjord
Nordland;Vefsn
Nordland;Grane
Nordland;Dønna
Nordland;Træna
Nordland;Narvik
Nordland;Evenes
Nordland;Aarborte - Hattfjelldal
Nordland;Nesna
Nordland;Hemnes
Nordland;Rana
Nordland;Lurøy
Nordland;Røst
Nordland;Værøy
Nordland;Flakstad
Nordland;Vestvågøy
Nordland;Vågan
Nordland;Moskenes
Nordland;Bodø
Nordland;Rødøy
Nordland;Meløy
Nordland;Gildeskål
Nordland;Beiarn
Nordland;Saltdal
Nordland;Fauske - Fuossko
Nordland;Sørfold
Nordland;Steigen
Nordland;Hábmer - Hamarøy
Nordland;Lødingen
Nordland;Hadsel
Nordland;Bø (Nordland)
Nordland;Øksnes
Nordland;Sortland - Suortá
Nordland;Andøy
